REGIONID,PORTFOLIO,STATIONNAME,DUID,FUEL,TransmissionLossFactor,CAPACITY,STARTDATE,ENDDATE
SA1,Snowy Hydro,Port Stanvac,PTSTAN1,Diesel,1.0037,65,2016-01-12T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Adelaide Desalination Plant Battery,ADPBA1,Battery,1.0037,6,2024-09-06T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Adelaide Desalination Plant Battery,ADPBA1G,Battery,1.0025,6,2021-04-20T00:00:00,2024-10-02T00:00:00
SA1,South Australian Water Corporation,Adelaide Desalination Plant Solar,ADPPV1,Solar,1.0037,19,2021-04-20T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Bolivar Waste Water Treatment Plant Battery,BOWWBA1,Battery,0.9999,2,2024-09-06T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Bolivar Waste Water Treatment Plant Battery,BOWWBA1G,Battery,1.0004,2,2021-11-16T00:00:00,2024-10-02T00:00:00
SA1,South Australian Water Corporation,Bolivar Waste Water Treatment Plant PV,BOWWPV1,Solar,0.9999,6,2021-11-16T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Christies Beach WWTP Battery,CBWWBA1,Battery,1.0037,2,2024-09-06T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Christies Beach WWTP Battery,CBWWBA1G,Battery,1.0025,2,2022-07-12T00:00:00,2024-10-02T00:00:00
SA1,South Australian Water Corporation,Happy Valley Water Treatment Plant Battery,HVWWBA1,Battery,1.0024,4,2024-09-06T00:00:00,2999-12-31T00:00:00
SA1,South Australian Water Corporation,Happy Valley Water Treatment Plant Battery,HVWWBA1G,Battery,1.0043,4,2022-04-20T00:00:00,2024-10-02T00:00:00
